Date	Open	High	Low	Close / Last	Volume
03/20/2018	175.24	176.8	174.94	175.24	19,620,520
03/19/2018	177.32	177.47	173.66	175.3	32,931,110
03/16/2018	178.65	179.12	177.62	178.02	38,313,330
03/15/2018	178.5	180.24	178.0701	178.65	22,676,520
03/14/2018	180.32	180.52	177.81	178.44	29,334,630
03/13/2018	182.59	183.5	179.24	179.97	31,464,170
03/12/2018	180.29	182.39	180.21	181.72	32,191,070
03/09/2018	177.96	180	177.39	179.98	32,130,360
03/08/2018	175.48	177.12	175.07	176.94	24,518,850
03/07/2018	174.94	175.85	174.27	175.03	31,686,450
03/06/2018	177.91	178.25	176.13	176.67	23,273,160
03/05/2018	175.21	177.74	174.52	176.82	27,825,140
03/02/2018	172.8	176.3	172.45	176.21	38,426,060
03/01/2018	178.54	179.775	172.66	175	48,706,170
02/28/2018	179.26	180.615	178.05	178.12	37,568,080
02/27/2018	179.1	180.48	178.16	178.39	38,885,510
02/26/2018	176.35	179.39	176.21	178.97	37,353,670
02/23/2018	173.67	175.65	173.54	175.5	33,772,050
02/22/2018	171.8	173.95	171.71	172.5	30,953,760
02/21/2018	172.83	174.12	171.01	171.07	37,378,070
02/20/2018	172.05	174.26	171.42	171.85	33,690,660
02/16/2018	172.36	174.82	171.77	172.43	40,113,790
02/15/2018	169.79	173.09	169	172.99	50,908,540
02/14/2018	163.045	167.54	162.88	167.37	40,382,890
02/13/2018	161.95	164.75	161.65	164.34	32,483,310
02/12/2018	158.5	163.89	157.51	162.71	60,774,900
02/09/2018	157.07	157.89	150.24	156.41	70,583,530
02/08/2018	160.29	161	155.03	155.15	54,145,930
02/07/2018	163.085	163.4	159.0685	159.54	51,467,440
02/06/2018	154.83	163.72	154	163.03	68,171,940
02/05/2018	159.1	163.88	156	156.49	72,215,320
02/02/2018	166	166.8	160.1	160.5	85,957,050
02/01/2018	167.165	168.62	166.76	167.78	44,453,230
01/31/2018	166.87	168.4417	166.5	167.43	32,234,520
01/30/2018	165.525	167.37	164.7	166.97	45,635,470
01/29/2018	170.16	170.16	167.07	167.96	50,565,420
01/26/2018	172	172	170.06	171.51	39,075,250
01/25/2018	174.505	174.95	170.53	171.11	41,438,280
01/24/2018	177.25	177.3	173.2	174.22	51,368,540
01/23/2018	177.3	179.44	176.82	177.04	32,395,870
01/22/2018	177.3	177.78	176.6016	177	27,052,000
01/19/2018	178.61	179.58	177.41	178.46	31,306,390
01/18/2018	179.37	180.1	178.25	179.26	31,087,330
01/17/2018	176.15	179.25	175.07	179.1	34,260,230
01/16/2018	177.9	179.39	176.14	176.19	29,512,410
01/12/2018	176.18	177.36	175.65	177.09	25,302,200
01/11/2018	174.59	175.4886	174.49	175.28	18,653,380
01/10/2018	173.16	174.3	173	174.29	23,751,690
01/09/2018	174.55	175.06	173.41	174.33	21,532,200
01/08/2018	174.35	175.61	173.93	174.35	20,523,870
01/05/2018	173.44	175.37	173.05	175	23,589,930
01/04/2018	172.54	173.47	172.08	173.03	22,342,650
01/03/2018	172.53	174.55	171.96	172.23	29,461,040
01/02/2018	170.16	172.3	169.26	172.26	25,400,540
12/29/2017	170.52	170.59	169.22	169.23	25,938,760
12/28/2017	171	171.85	170.48	171.08	16,412,270
12/27/2017	170.1	170.78	169.71	170.6	21,477,380
12/26/2017	170.8	171.47	169.679	170.57	33,113,340
12/22/2017	174.68	175.424	174.5	175.01	16,339,690
12/21/2017	174.17	176.02	174.1	175.01	20,848,660
12/20/2017	174.87	175.42	173.25	174.35	23,451,420
12/19/2017	175.03	175.39	174.09	174.54	27,393,660
12/18/2017	174.88	177.2	174.86	176.42	29,385,650
12/15/2017	173.63	174.17	172.46	173.97	40,122,100
12/14/2017	172.4	173.13	171.65	172.22	20,442,740
12/13/2017	172.5	173.54	172	172.27	23,402,510
12/12/2017	172.15	172.39	171.461	171.7	19,088,170
12/11/2017	169.2	172.89	168.79	172.67	34,260,890
12/08/2017	170.49	171	168.82	169.37	23,285,760
12/07/2017	169.03	170.44	168.91	169.32	25,656,110
12/06/2017	167.5	170.2047	166.46	169.01	28,397,810
12/05/2017	169.06	171.52	168.4	169.64	27,315,530
12/04/2017	172.48	172.62	169.63	169.8	32,512,580
12/01/2017	169.95	171.67	168.5	171.05	39,735,110
11/30/2017	170.43	172.14	168.44	171.85	41,484,540
11/29/2017	172.63	172.92	167.16	169.48	41,459,120
11/28/2017	174.3	174.87	171.86	173.07	26,387,240
11/27/2017	175.05	175.08	173.34	174.09	20,591,090
11/24/2017	175.1	175.5	174.6459	174.97	14,026,670
11/22/2017	173.36	175	173.05	174.96	25,558,680
11/21/2017	170.78	173.7	170.78	173.14	25,047,130
11/20/2017	170.29	170.56	169.56	169.98	16,041,550
11/17/2017	171.04	171.39	169.64	170.15	21,884,010
11/16/2017	171.18	171.87	170.3	171.1	23,598,650
11/15/2017	169.97	170.3197	168.38	169.08	28,998,220
11/14/2017	173.04	173.48	171.18	171.34	24,683,350
11/13/2017	173.5	174.5	173.4	173.97	16,956,290
11/10/2017	175.11	175.38	174.27	174.67	25,129,510
11/09/2017	175.11	176.095	173.14	175.88	29,422,610
11/08/2017	174.66	176.24	174.33	176.24	24,358,920
11/07/2017	173.91	175.25	173.6	174.81	24,332,120
11/06/2017	172.365	174.99	171.72	174.25	34,770,480
11/03/2017	174	174.26	171.12	172.5	59,332,210
11/02/2017	167.64	168.5	165.28	168.11	39,668,100
11/01/2017	169.87	169.94	165.61	166.89	33,482,970
10/31/2017	167.9	169.6499	166.94	169.04	35,779,520
10/30/2017	163.89	168.07	163.72	166.72	44,651,420
10/27/2017	159.29	163.6	158.7	163.05	44,387,770
10/26/2017	157.23	157.8295	156.78	157.41	16,916,650
10/25/2017	156.91	157.55	155.27	156.41	21,175,670
10/24/2017	156.29	157.42	156.2	157.1	17,633,730
10/23/2017	156.89	157.69	155.5	156.17	21,888,930
10/20/2017	156.61	157.75	155.96	156.25	23,907,540
10/19/2017	156.75	157.08	155.02	155.98	42,357,420
10/18/2017	160.42	160.71	159.6	159.76	16,252,850
10/17/2017	159.78	160.87	159.23	160.47	18,969,700
10/16/2017	157.9	160	157.65	159.88	24,093,300
10/13/2017	156.73	157.28	156.41	156.99	16,367,780
10/12/2017	156.35	157.37	155.7299	156	16,380,570
10/11/2017	155.97	156.98	155.75	156.55	16,861,450
10/10/2017	156.055	158	155.1	155.9	15,603,520
10/09/2017	155.81	156.73	155.485	155.84	16,243,080
10/06/2017	154.97	155.49	154.56	155.3	17,223,790
10/05/2017	154.18	155.44	154.05	155.39	21,215,870
10/04/2017	153.63	153.86	152.46	153.48	20,088,940
10/03/2017	154.01	155.09	153.91	154.48	16,216,800
10/02/2017	154.26	154.45	152.72	153.81	18,631,540
09/29/2017	153.21	154.13	152	154.12	26,204,670
09/28/2017	153.89	154.28	152.7	153.28	21,983,410
09/27/2017	153.8	154.7189	153.54	154.23	25,402,270
09/26/2017	151.78	153.92	151.69	153.14	35,907,770
09/25/2017	149.99	151.83	149.16	150.55	44,366,140
09/22/2017	152.02	152.27	150.56	151.89	46,575,410
09/21/2017	155.8	155.8	152.75	153.39	37,350,060
09/20/2017	157.9	158.26	153.83	156.07	52,126,240
09/19/2017	159.51	159.77	158.44	158.73	20,565,620
09/18/2017	160.11	160.5	157.995	158.67	28,157,630
09/15/2017	158.47	160.97	158	159.88	48,846,060
09/14/2017	158.99	159.4	158.09	158.28	23,637,310
09/13/2017	159.87	159.96	157.91	159.65	44,866,280
09/12/2017	162.61	163.96	158.77	160.86	71,574,560
09/11/2017	160.5	162.05	159.89	161.5	31,506,890
09/08/2017	160.86	161.15	158.53	158.63	28,411,740
09/07/2017	162.09	162.24	160.36	161.26	21,905,160
09/06/2017	162.71	162.99	160.52	161.91	21,610,300
09/05/2017	163.75	164.25	160.56	162.08	29,491,910
09/01/2017	164.8	164.94	163.63	164.05	16,564,340
08/31/2017	163.64	164.52	163.48	164	26,729,940
08/30/2017	163.8	163.89	162.61	163.35	27,215,770
08/29/2017	160.1	163.12	160	162.91	29,451,050
08/28/2017	160.14	162	159.93	161.47	25,649,890
08/25/2017	159.65	160.56	159.27	159.86	25,184,600
08/24/2017	160.43	160.74	158.55	159.27	19,782,170
08/23/2017	159.07	160.47	158.88	159.98	19,376,940
08/22/2017	158.23	160	158.02	159.78	21,564,890
08/21/2017	157.5	157.89	155.1101	157.21	26,330,070
08/18/2017	157.86	159.5	156.72	157.5	27,391,950
08/17/2017	160.52	160.71	157.84	157.86	27,377,960
08/16/2017	161.94	162.51	160.15	160.95	27,607,370
08/15/2017	160.66	162.195	160.14	161.6	29,377,630
08/14/2017	159.32	160.21	158.75	159.85	22,074,760
08/11/2017	156.6	158.5728	156.07	157.48	26,208,970
08/10/2017	159.9	160	154.63	155.32	39,636,190
08/09/2017	159.26	161.27	159.11	161.06	26,060,430
08/08/2017	158.6	161.83	158.27	160.08	36,127,490
08/07/2017	157.06	158.92	156.6701	158.81	21,827,400
08/04/2017	156.07	157.4	155.69	156.39	20,514,810
08/03/2017	157.05	157.21	155.02	155.57	26,604,140
08/02/2017	159.28	159.75	156.16	157.14	69,726,440
08/01/2017	149.1	150.22	148.41	150.05	33,669,020
07/31/2017	149.9	150.33	148.13	148.73	19,690,420
07/28/2017	149.89	150.23	149.19	149.5	17,192,770
07/27/2017	153.75	153.99	147.3	150.56	32,429,770
07/26/2017	153.35	153.93	153.06	153.46	15,649,120
07/25/2017	151.8	153.84	151.8	152.74	18,798,250
07/24/2017	150.58	152.44	149.9	152.09	21,466,370
07/21/2017	149.99	150.44	148.88	150.27	25,111,310
07/20/2017	151.5	151.74	150.19	150.34	17,170,490
07/19/2017	150.48	151.42	149.95	151.02	20,859,830
07/18/2017	149.2	150.13	148.67	150.08	17,837,130
07/17/2017	148.82	150.9	148.57	149.56	23,765,710
07/14/2017	147.97	149.33	147.33	149.04	20,117,070
07/13/2017	145.5	148.49	145.44	147.77	25,080,500
07/12/2017	145.87	146.18	144.82	145.74	24,833,800
07/11/2017	144.73	145.85	144.38	145.53	18,647,220
07/10/2017	144.11	145.95	143.37	145.06	21,080,580
07/07/2017	142.9	144.75	142.9	144.18	18,527,000
07/06/2017	143.02	143.5	142.41	142.73	24,110,330
07/05/2017	143.69	144.79	142.7237	144.09	21,550,270
07/03/2017	144.88	145.3001	143.1	143.5	14,277,850
06/30/2017	144.45	144.96	143.78	144.02	22,986,960
06/29/2017	144.71	145.13	142.28	143.68	31,450,520
06/28/2017	144.49	146.11	143.1601	145.83	22,052,920
06/27/2017	145.01	146.16	143.62	143.73	24,725,210
06/26/2017	147.17	148.28	145.38	145.82	25,674,500
06/23/2017	145.13	147.16	145.11	146.28	35,421,310
06/22/2017	145.77	146.7	145.1199	145.63	19,082,170
06/21/2017	145.52	146.0693	144.61	145.87	21,247,590
06/20/2017	146.87	146.87	144.94	145.01	24,877,950
06/19/2017	143.66	146.74	143.66	146.34	32,203,640
06/16/2017	143.78	144.5	142.2	142.27	50,264,540
06/15/2017	143.32	144.4798	142.21	144.29	31,642,900
06/14/2017	147.5	147.5	143.84	145.16	31,454,590
06/13/2017	147.16	147.45	145.15	146.59	34,089,190
06/12/2017	145.74	146.09	142.51	145.42	72,187,710
06/09/2017	155.19	155.19	146.02	148.98	64,782,910
06/08/2017	155.25	155.54	154.4	154.99	21,144,040
06/07/2017	155.02	155.98	154.48	155.37	21,017,560
06/06/2017	153.9	155.81	153.78	154.45	26,591,850
06/05/2017	154.34	154.45	153.46	153.93	25,277,680
06/02/2017	153.58	155.45	152.89	155.45	27,715,140
06/01/2017	153.17	153.33	152.22	153.18	16,383,610
05/31/2017	153.97	154.17	152.38	152.76	24,452,750
05/30/2017	153.42	154.43	153.33	153.67	20,118,620
05/26/2017	154	154.24	153.31	153.61	21,895,020
05/25/2017	153.73	154.35	153.03	153.87	19,217,810
05/24/2017	153.84	154.17	152.67	153.34	19,201,820
05/23/2017	154.9	154.9	153.31	153.8	19,906,170
05/22/2017	154	154.58	152.91	153.99	22,930,630
05/19/2017	153.38	153.98	152.63	153.06	26,892,850
05/18/2017	151.27	153.34	151.13	152.54	33,520,150
05/17/2017	153.6	154.57	149.71	150.25	50,674,280
05/16/2017	155.94	156.06	154.72	155.47	19,994,270
05/15/2017	156.01	156.65	155.05	155.7	25,912,270
05/12/2017	154.7	156.42	154.67	156.1	32,493,770
05/11/2017	152.45	154.07	152.31	153.95	27,236,290
05/10/2017	153.63	153.94	152.11	153.26	25,779,060
05/09/2017	153.87	154.88	153.45	153.99	38,907,940
05/08/2017	149.03	153.7	149.03	153.01	48,670,440
05/05/2017	146.76	148.98	146.76	148.96	27,254,850
05/04/2017	146.52	147.14	145.81	146.53	23,345,970
05/03/2017	145.59	147.49	144.27	147.06	45,579,740
05/02/2017	147.54	148.09	146.84	147.51	44,182,930
05/01/2017	145.1	147.2	144.96	146.58	33,498,270
04/28/2017	144.09	144.3	143.27	143.65	20,783,460
04/27/2017	143.923	144.16	143.31	143.79	14,198,660
04/26/2017	144.47	144.6	143.3762	143.68	19,998,050
04/25/2017	143.91	144.9	143.87	144.53	18,325,720
04/24/2017	143.5	143.95	143.18	143.64	17,117,710
04/21/2017	142.44	142.68	141.85	142.27	17,290,900
04/20/2017	141.22	142.92	141.16	142.44	23,294,040
04/19/2017	141.88	142	140.45	140.68	17,302,160
04/18/2017	141.41	142.04	141.11	141.2	14,676,420
04/17/2017	141.48	141.88	140.87	141.83	16,529,130
04/13/2017	141.91	142.38	141.05	141.05	17,775,510
04/12/2017	141.6	142.15	141.01	141.8	20,320,420
04/11/2017	142.94	143.35	140.06	141.63	30,341,520
04/10/2017	143.6	143.8792	142.9	143.17	18,904,680
04/07/2017	143.73	144.18	143.27	143.34	16,658,660
04/06/2017	144.29	144.52	143.45	143.66	21,131,040
04/05/2017	144.22	145.46	143.81	144.02	27,649,500
04/04/2017	143.25	144.89	143.17	144.77	19,865,300
04/03/2017	143.71	144.12	143.05	143.7	19,970,040
03/31/2017	143.72	144.27	143.01	143.66	19,576,480
03/30/2017	144.19	144.5	143.5	143.93	21,189,000
03/29/2017	143.68	144.49	143.19	144.12	29,174,040
03/28/2017	140.91	144.04	140.62	143.8	33,348,400
03/27/2017	139.39	141.22	138.62	140.88	23,531,670
03/24/2017	141.5	141.74	140.35	140.64	22,355,140
03/23/2017	141.26	141.5844	140.61	140.92	20,299,310
03/22/2017	139.845	141.6	139.76	141.42	25,804,820
03/21/2017	142.11	142.8	139.73	139.84	39,461,130
03/20/2017	140.4	141.5	140.23	141.46	21,258,100
03/17/2017	141	141	139.89	139.99	43,700,570
03/16/2017	140.72	141.02	140.26	140.69	19,173,780
03/15/2017	139.41	140.7501	139.025	140.46	25,676,720
03/14/2017	139.3	139.65	138.84	138.99	15,281,850
03/13/2017	138.85	139.43	138.82	139.2	17,048,800
03/10/2017	139.25	139.3571	138.64	139.14	19,578,920
03/09/2017	138.74	138.79	137.05	138.68	22,117,750
03/08/2017	138.95	139.8	138.82	139	18,695,500
03/07/2017	139.06	139.98	138.79	139.52	17,439,210
03/06/2017	139.365	139.77	138.5959	139.34	21,229,890
03/03/2017	138.78	139.83	138.59	139.78	21,555,370
03/02/2017	140	140.2786	138.76	138.96	26,170,690
03/01/2017	137.89	140.15	137.595	139.79	36,362,440
02/28/2017	137.08	137.435	136.7	136.99	23,446,340
02/27/2017	137.14	137.435	136.28	136.93	20,222,210
02/24/2017	135.91	136.66	135.28	136.66	21,754,600
02/23/2017	137.38	137.48	136.3	136.53	20,762,360
02/22/2017	136.43	137.12	136.11	137.11	20,769,030
02/21/2017	136.23	136.75	135.98	136.7	24,487,200
02/17/2017	135.1	135.83	135.1	135.72	22,163,280
02/16/2017	135.67	135.9	134.8398	135.345	22,539,860
02/15/2017	135.52	136.27	134.62	135.51	35,578,640
02/14/2017	133.47	135.09	133.25	135.02	33,054,500
02/13/2017	133.08	133.82	132.75	133.29	22,989,980
02/10/2017	132.46	132.94	132.05	132.12	20,046,250
02/09/2017	131.65	132.445	131.12	132.42	28,321,440
02/08/2017	131.35	132.22	131.22	132.04	22,941,650
02/07/2017	130.54	132.09	130.45	131.53	38,158,410
02/06/2017	129.13	130.5	128.9	130.29	26,784,530
02/03/2017	128.31	129.19	128.16	129.08	24,460,160
02/02/2017	127.975	129.39	127.78	128.53	33,671,250
02/01/2017	127.03	130.49	127.01	128.75	111,837,300
01/31/2017	121.15	121.39	120.62	121.35	47,767,760
01/30/2017	120.93	121.63	120.66	121.63	30,327,110
01/27/2017	122.14	122.35	121.6	121.95	20,495,340
01/26/2017	121.67	122.44	121.6	121.94	26,320,740
01/25/2017	120.42	122.1	120.28	121.88	32,417,410
01/24/2017	119.55	120.1	119.5	119.97	23,191,150
01/23/2017	120	120.81	119.77	120.08	21,982,000
01/20/2017	120.45	120.45	119.7346	120	29,922,650
01/19/2017	119.4	120.09	119.37	119.78	25,554,290
01/18/2017	120	120.5	119.71	119.99	23,687,350
01/17/2017	118.34	120.24	118.22	120	34,412,090
01/13/2017	119.11	119.62	118.81	119.04	26,083,030
01/12/2017	118.895	119.3	118.21	119.25	27,057,550
01/11/2017	118.74	119.93	118.6	119.75	27,453,130
01/10/2017	118.77	119.38	118.3	119.11	24,432,660
01/09/2017	117.95	119.43	117.94	118.99	33,420,290
01/06/2017	116.78	118.16	116.47	117.91	31,714,820
01/05/2017	115.92	116.8642	115.81	116.61	22,115,100
01/04/2017	115.85	116.51	115.75	116.02	21,081,620
01/03/2017	115.8	116.33	114.76	116.15	28,769,220
12/30/2016	116.65	117.2	115.43	115.82	30,555,900
12/29/2016	116.45	117.1095	116.4	116.73	14,979,680
12/28/2016	117.52	118.0166	116.2	116.76	20,686,510
12/27/2016	116.52	117.8	116.49	117.26	18,131,970
12/23/2016	115.59	116.52	115.59	116.52	14,244,050
12/22/2016	116.35	116.51	115.64	116.29	26,043,820
12/21/2016	116.8	117.4	116.78	117.06	23,724,430
12/20/2016	116.74	117.5	116.68	116.95	21,337,310
12/19/2016	115.8	117.38	115.75	116.64	27,756,760
12/16/2016	116.47	116.5	115.645	115.97	44,284,660
12/15/2016	115.38	116.73	115.23	115.82	46,286,150
12/14/2016	115.04	116.2	114.98	115.19	33,962,370
12/13/2016	113.84	115.92	113.75	115.19	43,293,350
12/12/2016	113.29	115	112.49	113.3	26,176,690
12/09/2016	112.31	114.7	112.31	113.95	34,324,350
12/08/2016	110.86	112.43	110.6	112.12	27,049,830
12/07/2016	109.26	111.19	109.16	111.03	29,976,030
12/06/2016	109.5	110.36	109.19	109.95	26,160,560
12/05/2016	110	110.03	108.25	109.11	34,113,880
12/02/2016	109.17	110.09	108.85	109.9	26,481,320
12/01/2016	110.365	110.94	109.03	109.49	37,034,520
11/30/2016	111.6	112.2	110.27	110.52	36,151,450
11/29/2016	110.78	112.03	110.07	111.46	28,507,780
11/28/2016	111.43	112.465	111.39	111.57	27,054,320
11/25/2016	111.13	111.87	110.95	111.79	11,475,920
11/23/2016	111.36	111.51	110.33	111.23	27,420,550
11/22/2016	111.95	112.42	111.4	111.8	25,931,710
11/21/2016	110.12	111.99	110.01	111.73	29,164,190
11/18/2016	109.72	110.54	109.66	110.06	28,310,840
11/17/2016	109.81	110.35	108.83	109.95	27,623,150
11/16/2016	106.7	110.23	106.6	109.99	58,724,080
11/15/2016	106.57	107.68	106.1593	107.11	32,230,590
11/14/2016	107.71	107.809	104.08	105.71	50,901,380
11/11/2016	107.12	108.87	106.55	108.43	34,117,030
11/10/2016	111.09	111.09	105.83	107.79	57,097,740
11/09/2016	109.88	111.32	108.05	110.88	59,118,740
11/08/2016	110.31	111.72	109.7	111.06	24,129,630
11/07/2016	110.08	110.51	109.46	110.41	32,361,930
11/04/2016	108.53	110.25	108.11	108.84	30,790,930
11/03/2016	110.98	111.46	109.55	109.83	26,538,700
11/02/2016	111.4	112.35	111.23	111.59	28,174,980
11/01/2016	113.46	113.77	110.53	111.49	43,403,760
10/31/2016	113.65	114.23	113.2	113.54	26,378,910
10/28/2016	113.87	115.21	113.45	113.72	36,792,100
10/27/2016	115.39	115.86	114.1	114.48	31,396,130
10/26/2016	114.31	115.7	113.31	115.59	66,028,640
10/25/2016	117.95	118.36	117.31	118.25	46,820,600
10/24/2016	117.1	117.74	117	117.65	23,492,650
10/21/2016	116.81	116.91	116.28	116.6	22,527,690
10/20/2016	116.86	117.38	116.33	117.06	24,100,150
10/19/2016	117.25	117.76	113.8	117.12	19,977,160
10/18/2016	118.18	118.21	117.45	117.47	24,308,210
10/17/2016	117.33	117.84	116.78	117.55	23,583,810
10/14/2016	117.88	118.17	117.13	117.63	35,626,020
10/13/2016	116.79	117.44	115.72	116.98	35,041,820
10/12/2016	117.35	117.98	116.75	117.34	37,512,930
10/11/2016	117.7	118.69	116.2	116.3	63,963,010
10/10/2016	115.02	116.75	114.72	116.05	36,087,910
10/07/2016	114.31	114.56	113.51	114.06	24,336,440
10/06/2016	113.7	114.34	113.13	113.89	28,508,710
10/05/2016	113.4	113.66	112.69	113.05	21,400,410
10/04/2016	113.06	114.31	112.63	113	29,707,270
10/03/2016	112.71	113.05	112.28	112.52	21,634,520
09/30/2016	112.46	113.37	111.8	113.05	36,340,670
09/29/2016	113.16	113.8	111.8	112.18	35,850,010
09/28/2016	113.69	114.64	113.43	113.95	29,608,390
09/27/2016	113	113.18	112.34	113.09	24,587,490
09/26/2016	111.64	113.39	111.55	112.88	29,800,240
09/23/2016	114.42	114.79	111.55	112.71	52,411,070
09/22/2016	114.35	114.94	114	114.62	31,048,170
09/21/2016	113.85	113.989	112.441	113.55	35,951,900
09/20/2016	113.05	114.12	112.51	113.57	34,494,150